step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,interactiveproj,0.19837507025456624,0.6881594705092389,2.2994295407963956,,Who is Vivienne Westwood?,"Vivienne Westwood was a British Fashion designer well known for her Political activism and avant-garde designs. Westwood started her career through her shop on 430 King's Road where she dove head first into the punk-rock rage of the 70s and 80s. Her activism is proudly displayed through her clothing designs and her campaigns. Westwood famously said, ""I just use fashion as an excuse to talk about politics. Because I’m a fashion designer, it gives me a voice, which is really good."", further solidifying her stance on influencing consumers and admirers through her work.

<a href=""https://www.viviennewestwood.com/en-us/westwood-world/the-story-so-far/"">Vivienne Westwood Website</a>

<a href=""https://artsandculture.google.com/story/9-facts-about-vivienne-westwood/jQURGMzBv_BFpw?hl=en"">9 Facts About Vivienne Westwood</a>",,,,,,,,
2,interactiveproj,0.793557595775533,0.2595819664387502,2.27255625,,Ethical Fashion,"Vivienne Westwood was a firm activist for ethical fashion, and used her 2011 Fall/Winter campaign shoot to emphasize this. Westwood partnered with International Trade Centre and designed a collection of bags made by the women of Nairobi, Kenya under ethical labor conditions. Her bags featured recycled material, and aimed to empower female workers and give them access to work. ""NOT CHARITY, JUST WORK."" was the slogan that accompanied this campaign and its mission.

<a href=""https://youtu.be/sRtUzqNfIxE?si=EkpJteM6il9jBVcY"">Vivienne Westwood Visits Kenya with the Ethical Fashion Initiative</a> 

<a href=""https://art8amby.wordpress.com/2011/09/02/vivienne-westwood-gold-label-fall-winter-2011-ad-campaign/"">Vivienne Westwood Gold Label Fall/Winter 2011 Ad Campaign</a>",,,,,,,,
3,interactiveproj,0.22509152305111113,0.23600604581063744,1.8878534954312614,,"Anti-Terror Laws and Shirts ","Vivienne Westwood partnered with civil rights group Liberty to create shirts protesting anti-terror laws. All proceeds from the sale of this shirt went directly to charity. This protest came after an innocent man was shot in London. This shirt and collaboration were a critique on the governments proposed anti-terror legislation, and an argument for the sanctity of democracy through insisting on protecting civil liberties. 
Through the creation of these shirts, Westwood was able to spread her opinions on the matter, and emphasize her advocacy for Habeas Corpus through a less traditional means of protest. Additionally, This collaboration presented an accessibility to activism with the message being woven in something people wear everyday, a shirt. 

<a href=""https://www.dazeddigital.com/fashion/article/24335/1/vivienne-westwood-s-top-ten-political-moments#:~:text=Westwood%20subsequently%20told%20Dazed%20that,'Save%20The%20Arctic'%20work."">Dazed Magazine Article</a>
",,,,,,,,
4,interactiveproj,0.7792088256629557,0.7208852884713959,1.632240801000001,,"Dazed Cover Shoot ","The Dazed July 2008 cover was contructed by Vivienne Westwood and featured a child eco-warrior. This photo depicts a young girl with the phrase ""Get a life"" central to Westwood's intended meaning. This is a urge for readers to be aware of issues that were plaguing society. Some of these issues include climate change and rising sea levels, a plea to embrace artistic, higher culture, and to be aware of propaganda in everyday media. Westwood commonly describes herself as an eco-warrior and has worked  with other eco-conscious activist organizations, such as PETA.  

<a href=""https://www.dazeddigital.com/fashion/article/24335/1/vivienne-westwood-s-top-ten-political-moments#:~:text=Westwood%20subsequently%20told%20Dazed%20that,'Save%20The%20Arctic'%20work."">Dazed Magazine Article</a>
",,,,,,,,
5,interactiveproj,0.37520302798492944,0.7807127292023398,3.408834375,,YES for pro-Scottish Independence,"Blue pins featuring ""YES"" in white ink were a symbol of support for the Scottish Independence movement. In her 2015 Spring/Summer show during London Fashion Week, Westwood adorned her models with not only her designs, but the blue 'YES' pin. At the conclusion of her show, Westwood also walked the runway sporting that same pin. Additionally, Westwood adorned every seat in the show with a note further explaining her views and opinions on the matter. Her support of Scotland was attributed to her admiration of their democratic process. 

<a href=""https://www.vogue.com/fashion-shows/spring-2015-ready-to-wear/vivienne-westwood/slideshow/collection#45"">Spring 2015 Ready To Wear</a> 

<a href=""https://www.dazeddigital.com/fashion/article/24335/1/vivienne-westwood-s-top-ten-political-moments#:~:text=Westwood%20subsequently%20told%20Dazed%20that,'Save%20The%20Arctic'%20work."">Dazed Magazine Article</a>
",,,,,,,,
6,interactiveproj,0.5259835182292293,0.27893914186305135,1.5860548828125003,,"Merry Christmas, Prime Minister!","In honor of the Christmas spirit and the ecological health of society, Vivienne Westwood and Santa delivered a gift to the Prime Ministers office in London. Westwood delivered a box of asbestos as a commentary on the poisonous nature of fracking and David Camerons ignorance on the health risks associated with fracking. This lighthearted video highlights the  dangers of fracking and spreads the importance of knowing who is in positions of governmental power through non-aggressive means. 

<a href=""https://youtu.be/mSoANa1ieYQ?si=Vlf7GdyqWJHVlRAW"">Merry Fracking Christmas, Mr. Cameron</a>

<a href=""https://www.dazeddigital.com/fashion/article/22987/1/dame-viv-delivers-asbestos-christmas-gift-to-david-cameron"">Vivienne Westwoods Asbestos Christmas Gift</a>
",,,,,,,,
7,interactiveproj,0.5559904267302685,0.647562452979747,2.8961726323776635,,Westwood's Legacy,"Vivienne Westwood is an inspiration to many. Through her chic, punk-esque blending of colors and silhouettes, and her outspoken views on inequalities and political issues, her legacy sustains her label as the Queen of Punk. Westwood is remembered for her beautiful spirit, her dynamic commentaries, and longstanding activism. 

More Moments of Political Activism:

<a href=""https://youtu.be/giswZAT89X4?si=1GxCPtEyXSZ-2Nre"">Westwood Urges People To Vote Green</a>

<a href=""https://youtu.be/GuROuLpoJLY?si=P_ML4hQkWkUxb0U-"">Westwoods Supports Vegetarianism</a>

<a href=""https://designhistory2013.wordpress.com/2013/05/10/vivienne-westwood-subversive-punk-fashion-designeractivist"">Punk Fashion, Designer Activism</a>
",,,,,,,,
